id,transport_type,name,lat,lon,operator,network,route_ref,shelter,bench,wheelchair,tactile_paving,covered,lit,departures_board,capacity,fee,payment,level,line,railway,amenity,rental,elevator,escalator,steps,entrance,accessibility_score,accessibility_level,accessibility_factors
"bus_('node', 8007969949)",bus,TLHA2,41.2301819,-8.6757258,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8007969952)",bus,BRRO2,41.2338698,-8.6704281,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8062025857)",bus,,41.1805475,-8.6941347,,,,no,yes,,no,,,,,,,,,,,,,,,,43,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 8077878629)",bus,Hospital Pedro Hispano (metro),41.1805419,-8.6671115,,Maré de Matosinhos,,no,no,,,,no,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8128298582)",bus,Vitório Falcão,41.17521,-8.6723283,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8128298586)",bus,Vitório Falcão,41.1752032,-8.6724466,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8128298587)",bus,Biquinha (Bairro),41.1738864,-8.6749622,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8279116089)",bus,9 de Julho,41.22687,-8.7048273,Maré de Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 8279432196)",bus,R. Rosas,41.2290011,-8.7045959,Maré de Matosinhos,Andante,,no,,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8279432197)",bus,R. Cravos,41.2313321,-8.7049454,Maré de Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 8279432198)",bus,Bairro das Flores,41.2327481,-8.7065242,Maré de Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 8279432199)",bus,Gatões (Timor),41.2096151,-8.6657739,Maré de Matosinhos,Andante,,no,,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832041)",bus,Funde de Vila,41.1850548,-8.671597,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832042)",bus,Funde de Vila,41.1852341,-8.6716417,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832060)",bus,Travessa Seara,41.1878288,-8.6740789,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832061)",bus,Travessa Seara,41.1879578,-8.6738798,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832068)",bus,Seara (Bairro),41.1887498,-8.6721007,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832069)",bus,Seara (Bairro),41.1887187,-8.6720122,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832089)",bus,Funde de Vila (Viaduto),41.1867867,-8.6714629,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 8499832090)",bus,Funde de Vila (Viaduto),41.1865826,-8.6714021,Maré de Matosinhos,Andante,,no,no,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 9312280241)",bus,São Pedro,41.1851327,-8.694051,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 9312280242)",bus,1º de Dezembro,41.1835726,-8.6925183,STCP,Andante,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
