paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Rua Dr. António Teixeira de Melo,271,0,Ativa,Bairro da Cruz de Pau,Bairro da Cruz de Pau,Bairro da Cruz de Pau,Rua Dr. António Teixeira de Melo,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5008,MTS1,-8.673427473728875,41.18194901198212
Rua 25 de Abril,272,0,Ativa,Bairro da Cruz de Pau,Bairro da Cruz de Pau,Bairro da Cruz de Pau,Rua 25 de Abril,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.673247423551599,41.18174287384957
Rua Cruz de Pau,273,0,Ativa,Orfeão de Matosinhos,Orfeão de Matosinhos,Orfeão de Matosinhos,Rua Cruz de Pau,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5006, 5007",MTS1,-8.671305582480494,41.18174864528831
Rua Cruz de Pau,274,0,Ativa,Orfeão de Matosinhos,Orfeão de Matosinhos,Orfeão de Matosinhos,Rua Cruz de Pau,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5005, 5008",MTS1,-8.670847983259785,41.18185941954613
Rua Nova do Estádio,278,0,Ativa,Centro de Congressos,Centro de Congressos,Centro de Congressos,Rua Nova do Estádio,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),N/A,5007,MTS1,-8.666606906508282,41.18551505915983
Rua Nova do Estádio,279,0,Ativa,Santa Helena,Santa Helena,Santa Helena,Rua Nova do Estádio,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,5007,MTS1,-8.66905761961833,41.185561095875684
Rua Dr. Eduardo Torres,281,0,Ativa,Azenha de Cima,Azenha de Cima,Azenha de Cima,Rua Dr. Eduardo Torres,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),"506, 507, 13M","5001, 5005, 5007, 5009, 5010, 5012, 5015, 5017, 5101, 5102, 5103, 5104",MTS1,-8.660274397330916,41.17992460014286
Rua Quatro Caminhos,283,0,Ativa,Quatro Caminhos,Quatro Caminhos,Quatro Caminhos,Rua Quatro Caminhos,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,N/A,PRT2,-8.651619290291013,41.18874163363955
Rua Quatro Caminhos,282,0,Ativa,Quatro Caminhos,Quatro Caminhos,Quatro Caminhos,Rua Quatro Caminhos,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,N/A,PRT2,-8.651501246371732,41.188649728783496
Rua Joaquim Alves da Silva,287,0,Ativa,Joaquim Alves da Silva,Joaquim Alves da Silva,Joaquim Alves da Silva,Rua Joaquim Alves da Silva,"Perafita (União das freguesias de Perafita, Lavra e Santa Cruz do Bispo)",N/A,5018,MTS2,-8.694612669747505,41.219452377755616
Rua Sendim,293,0,Ativa,Sarilho (Viaduto),Sarilho (Viaduto),Sarilho (Viaduto),Rua Sendim,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5011, 5104",MTS1,-8.667802400339378,41.1911011868827
Rua Sendim,294,0,Ativa,Sarilho (Viaduto),Sarilho (Viaduto),Sarilho (Viaduto),Rua Sendim,Matosinhos (União das freguesias de Matosinhos e Leça da Palmeira),N/A,"5011, 5104",MTS1,-8.667529945296664,41.19110110894643
Avenida Calouste Gulbenkian,295,0,Ativa,R. da Lagoa,Rua da Lagoa,R. da Lagoa,Avenida Calouste Gulbenkian,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,5015,MTS1,-8.662438922500064,41.19174177404066
Avenida Calouste Gulbenkian,296,0,Ativa,R. da Lagoa,Rua da Lagoa,R. da Lagoa,Avenida Calouste Gulbenkian,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,"5010, 5015, 5017, 5103",MTS1,-8.662289460763477,41.19177352566736
Avenida Calouste Gulbenkian,297,0,Ativa,Av. Vasco da Gama (site) / Vasco da Gama (Metro) (postalete),Av. Vasco da Gama (site) / Vasco da Gama (Metro) (postalete),Av. Vasco da Gama (site) / Vasco da Gama (Metro) (postalete),Avenida Calouste Gulbenkian,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),503,5015,MTS1,-8.662195475969027,41.19052317232596
Avenida Fabril do Norte,304,0,Ativa,Sra. Da Hora (Metro),Sra. Da Hora (Metro),Sra. Da Hora (Metro),Avenida Fabril do Norte,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,N/A,PRT2,-8.654165070125408,41.18718563897467
Avenida Fabril do Norte,305,0,Ativa,Igreja Senhora da Hora,Igreja Senhora da Hora,Igreja Senhora da Hora,Avenida Fabril do Norte,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,N/A,PRT2,-8.65362194894303,41.18346956950947
Rua São Gens,306,0,Ativa,António Pedro,António Pedro,António Pedro,Rua São Gens,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5010, 5011, 5017, 5021, 5103, 5104",MAI1,-8.645258065442047,41.188077330139436
Rua São Gens,307,0,Ativa,R. Nova de S. Gens,R. Nova S. Gens,R. Nova de S. Gens,Rua São Gens,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5010, 5011, 5017, 5021, 5103, 5104",MAI1,-8.647252868559976,41.18831555512062
Rua Costa Fontes,308,0,Ativa,Costa Fontes,Costa Fontes,Costa Fontes,Rua Costa Fontes,Senhora da Hora (União das freguesias de São Mamede de Infesta e Senhora da Hora),N/A,"5004, 5014",MTS1,-8.660727368792717,41.19383706086264
Rua São Gens,310,0,Ativa,R. da Fonte Velha,Padrão da Légua,R. da Fonte Velha,Rua São Gens,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",506,"5010, 5011, 5017, 5102, 5103, 5104",MAI1,-8.634813796924346,41.192471166802356
Rua Teixeira Lopes,315,0,Ativa,Tv. Fonte Velha,Tv. Fonte Velha,Tv. Fonte Velha,Rua Teixeira Lopes,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",N/A,5015,MAI1,-8.641321275963138,41.20048536840251
Rua Laranjeiras,317,0,Ativa,Santos Dias,Santos Dias,Santos Dias,Rua Laranjeiras,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),604,N/A,MAI1,-8.607866418851478,41.19826132891472
Rua Cândido dos Reis,318,0,Ativa,R. Gatões (Custóias),R. Gatões,R. Gatões (Custóias),Rua Cândido dos Reis,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MAI1,-8.647096755755847,41.2015223921309
Rua General José Vicente de Freitas,322,0,Ativa,Custóias (Metro),Custóias (Metro),Custóias (Metro),Rua General José Vicente de Freitas,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MAI1,-8.655494568720277,41.20018178396705
Rua Monte dos Pipos,324,0,Ativa,Monte dos Pipos,Cândido dos Reis (mapa) / Monte dos Pipos (postalete),Monte dos Pipos,Rua Monte dos Pipos,"Custóias (União das freguesias de Custóias, Leça do Balio e Guifões)",505,"5002, 5015, 5102",MTS1,-8.657707693082143,41.19926803811668
Rua Monte da Mina,325,0,Ativa,Padrão da Légua (R. Monte da Mina),Padrão Légua,Padrão da Légua (R. Monte da Mina),Rua Monte da Mina,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",506,"5010, 5011, 5104",MAI1,-8.63308602417838,41.192873137609276
Rua Monte da Mina,326,0,Ativa,Central Seixo,Central Seixo,Central Seixo,Rua Monte da Mina,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",506,"5010, 5011, 5104",MAI1,-8.630731428757372,41.191750270922
