lat,lon,school,hospital,clinic,pharmacy,supermarket,bakery,cafe,restaurant,park,transport
41.17961829754909,-8.686495531497737,17,0,20,6,10,11,85,135,450,141
41.17961504611871,-8.685303267878828,19,0,21,7,11,11,80,125,465,145
41.17961178234687,-8.68411100445556,19,0,20,7,11,9,74,112,439,144
41.17960850623359,-8.682918741228669,17,0,20,7,11,7,65,102,401,144
41.17960521777887,-8.681726478198899,17,0,20,8,11,5,58,87,352,158
41.17960191698271,-8.680534215366992,11,0,16,7,10,3,50,68,303,158
41.179598603845136,-8.679341952733688,6,0,16,6,9,2,43,49,247,152
41.179595278366136,-8.678149690299728,7,0,12,5,10,2,37,35,211,152
41.17959194054573,-8.676957428065853,6,1,13,5,10,2,30,30,224,154
41.17958859038389,-8.675765166032804,7,1,12,4,10,2,29,18,219,154
41.17958522788067,-8.674572904201323,9,2,10,3,9,3,30,17,221,158
41.17958185303604,-8.67338064257215,9,2,8,2,7,2,22,10,231,144
41.17957846585002,-8.672188381146025,9,2,6,2,5,2,22,7,281,154
41.17957506632263,-8.670996119923695,8,3,5,2,6,2,18,6,338,152
41.179571654453845,-8.669803858905894,7,3,4,1,6,2,15,4,410,150
41.17956823024369,-8.668611598093367,8,3,5,1,8,2,12,3,511,157
41.179564793692165,-8.667419337486855,8,3,5,0,8,2,14,4,605,161
41.17956134479929,-8.666227077087097,7,3,6,2,9,2,15,5,650,163
41.179557883565046,-8.665034816894837,7,3,6,2,9,2,21,5,685,179
